name,price,description,specifications,rating
"Lenovo IdeaPad 15.6"" Laptop Newest, 20GB RAM, 1TB SSD, AMD Dual-core Processor, 15.6 Inch HD Anti-Glare Display, WiFi6 Bluetooth 5.0, 9.5Hr Battery, Windows 11 +GM Accessories",$399.98,4.1,"You may use the Command Prompt to open Wi-Fi settings on Windows 11 by following these steps:  1.Click and FN+Shift+F10 or Shift+F10 at the same time. 2.In the Command Prompt window, type “start ms-settings:network-wifi” and press Enter. 3.The Wi-Fi settings page will open in the Settings app.How to switch s mode to windows 111. On your PC running Windows 11 in S mode, open Settings > Update & Security > Activation.2. In the Switch to Windows 11 Home or Switch to Windows 11 Pro section, select Go to the Store. (If you also see an ""Upgrade your edition of Windows"" section, be careful not to click the ""Go to the Store"" link that appears there.)3. On the Switch out of S mode (or similar) page that appears in the Microsoft Store, select the Get button. After you see a confirmation message on the page, you'll be able to install apps from outside of the Microsoft Store. Display: 15"" HD (1366x768) LED backlight LCD Display Processor: AMD Athlon Silver 3050U (2.3 GHz base clock, up to 3.2 GHz max boost clock, 4 MB L3 cache, 2 cores, 2 threads) Graphics: AMD Radeon Graphics  Memory: Upgraded to 20GB RAM Storage: Upgraded to 1TB Pcie SSD （system） + 128GB eMMC Card Reader: MicroSD Card Reader Optical: None Audio Chip: High Definition (HD) Audio Speakers: Stereo speakers, 1.5W x2, Dolby Audio Camera: 720p webcam with Privacy Shutter Microphone: 2x, Array Keyboard: Non-backlit, English Operating System: Windows 11 64-bit WLAN + Bluetooth: WiFi 6 - 802.11 ax + Bluetooth Standard Ports: 1 x USB 3.2 type A 1 x USB 3.2 type C 1 x USB 2.0 type A 1 x HDMI 1.4 1 x AC smart pin 1 x Multi-format SD media card reader 1 x Headphone / Mic Combo Jack","N/A: N/A
N/A: N/A
N/A: N/A
N/A: N/A
N/A: N/A"
"Lenovo IdeaPad Gaming Chromebook - 2022 - Chromebook Gaming Laptop - Intel Iris XE Graphics - 16"" Display - 8GB Memory - 256GB Storage - Intel i5 12th Gen - Storm Grey",$569.99,3.9,N/A,"N/A: N/A
N/A: N/A
N/A: N/A
N/A: N/A"
"ASUS Vivobook Laptop L210 11.6"" Ultra Thin Laptop, Intel Celeron N4020 Processor, 4GB RAM, 128GB eMMC Storage, Windows 11 Home in S Mode with One Year of Office 365 Personal, L210MA-DS04",$189.99,4.3,N/A,"N/A: N/A
N/A: N/A
N/A: N/A
N/A: N/A"
"SGIN Laptop 15.6 Inch 4GB DDR4 128GB SSD, Windows 11 Laptop with Celeron N4020, up to 2.8GHz, Mini HDMI, 2.4/5.0G WiFi, 2 x USB 3.0, Expandable Storage 512GB TF(Sliver)",$259.99,4.4,N/A,"N/A: N/A
N/A: N/A
N/A: N/A"
"ASUS 2023 Vivobook 16X Laptop, 16” WUXGA, Intel Core i9-13900H CPU, NVIDIA Geforce RTX 3050 GPU, 16GB RAM, 1TB SSD, Windows 11 Home, Indie Black, K3605VC-AS96","$1,249.99",N/A,N/A,"N/A: N/A
N/A: N/A
N/A: N/A"
"ASUS Zenbook S 13 OLED Ultra Laptop, 13.3” OLED 2.8K Touch Display, Intel Evo Certified, i7-1355U CPU, Intel® Iris Xe Graphics, 32GB RAM, 1TB SSD, Windows 11 Pro, Basalt Grey, UX5304VA-XS76T","$1,399.99",5.0,N/A,"N/A: N/A
N/A: N/A
N/A: N/A
N/A: N/A"
"Acer 2023 Newest Aspire 5 15.6"" FHD 1080p IPS Slim Laptop, Dual-Core Intel i3-1115G4 (Upto 4.1GHz) Procssor, 20GB RAM, 1TB NVMe SSD, WiFi 6, RJ-45, HD Webcam, Amazon Alexa, Windows 11+MarxsolCables",$439.00,3.5,"The Newest 2023 Aspire 5 packs a lot of power into the portable design to suit the multi-tasking needs of you and your family. The powerful 11th Gen Intel Core i3 processor is great for light gaming, productivity, and work tasks. Enjoy photo and video editing on the color-rich 15.6-inch Full HD display with Intel UHD Graphics.Processor: Intel Core i3-1115G4 Processor (Base frequency 3.0GHz, up to 4.1GHz, 2 Cores, 4 Threads, 6MB Cache)Graphics: Integrated Intel UHD GraphicsDisplay: 15.6"" Full HD (1920 x 1080) display with 82.58% screen-to-body, 16:9 aspect ratio and narrow bezelsOperating System: Windows 11 Home Storage: Upgraded to 1TB PCIe NVMe M.2 Solid State DriveMemory: Upgraded to 20GB DDR4 SDRAMEthernet: 10/100/1000MbpsSpeaker: High Definition Audio, Acer TrueHarmonyWireless: Intel Wireless Wi-Fi 6 AX201 802.11ax & Bluetooth 5 comboOptical Drive: NoCamera: YesKeyboard: English with Numeric KeypadFingerprint Reader: NoPorts: 1x USB-C 3.1 Gen 1 (up to 5 Gbps)2x USB-A 3.1 Gen 1 (one with Power-off Charging)1x USB-A 2.01x HDMI Port with HDCP Support1x Ethernet portColor: Pure SilverDimensions (L x W x H): 14.31 x 9.40 x 0.7 inchesWeight: 3.64 lbsAccessory: MarxsolCableAccessories","N/A: N/A
N/A: N/A
N/A: N/A
N/A: N/A
N/A: N/A
N/A: N/A"
"Lenovo IdeaPad 1 14 Laptop, 14.0"" HD Display, Intel Celeron N4020, 4GB RAM, 64GB Storage, Intel UHD Graphics 600, Win 11 in S Mode, Cloud Grey",$162.50,4.2,1,"N/A: N/A
N/A: N/A
N/A: N/A
N/A: N/A
N/A: N/A"
"Acer Aspire 5 A515-56-347N Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 8GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S Mode",$299.99,4.3,N/A,"N/A: N/A
N/A: N/A
N/A: N/A"
"HP Newest 17t Laptop, 17.3'' HD+ Touchscreen, Intel Core i7-1165G7 Processor, 64GB DDR4 RAM, 2TB PCIe SSD, Backlit Keyboard, HDMI, Windows 11 Home, Silver","$1,026.99",4.3,"Key Features and Benefits:CPU: 11th Gen Intel Core i7-1165G7 Processor (4 Cores, 8 Threads, 12MB Cache, 2.80 GHz base frequency, up to 4.70 GHz max turbo frequency) Memory: Up to 64GB DDR4 RAMHard Drive: Up to 2TB PCIe Solid State DriveOperating System: Windows 11 HomeDisplay: 17.3"" diagonal, HD+ (1600 x 900), Touch Screen, BrightViewGraphics:Intel Iris Xe Graphics Backlit Keyboard: Yes  Numeric Keyboard: Yes Ports: 1 x SuperSpeed USB Type-C 5Gbps signaling rate | 2 x SuperSpeed USB Type-A 5Gbps signaling rate | 1 x HDMI 1.4b | 1 x headphone/microphone comboWireless Connectivity: Realtek Wi-Fi 6 (2x2) and Bluetooth 5.2 combo (Supporting Gigabit data rate)Camera: Built-in HD Webcam with integrated dual array digital microphonesBluetooth: Yes Power Supply: 3-cell, 41Wh Lithium-ion prismatic Battery (Integrated), 45 W Smart AC power adapter Weight: 5.25 poundsColor:Silver","N/A: N/A
N/A: N/A
N/A: N/A
N/A: N/A
N/A: N/A
N/A: N/A"
